Indicator Name,Income Group,Year,Median,Lower Bound,Upper Bound,Count
DTP3 Coverage,High-income countries,2018,96,92.68158098,99.31841902,63
DTP3 Coverage,Low-income countries,2018,81,63.93762235,98.06237765,25
DTP3 Coverage,Lower-middle-income countries,2018,89.5,77.18346228,101.8165377,49
DTP3 Coverage,Upper-middle-income countries,2018,92.5,81.398464,103.601536,53
DTP3 Coverage,High-income countries,2019,96,92.65386638,99.34613362,63
DTP3 Coverage,Low-income countries,2019,78,60.86585813,95.13414187,25
DTP3 Coverage,Lower-middle-income countries,2019,90,77.84751782,102.1524822,49
DTP3 Coverage,Upper-middle-income countries,2019,92,81.91420452,102.0857955,53
DTP3 Coverage,High-income countries,2020,96,92.16742952,99.83257048,63
DTP3 Coverage,Low-income countries,2020,71,54.82230088,87.17769912,25
DTP3 Coverage,Lower-middle-income countries,2020,84,71.47122111,96.52877889,49
DTP3 Coverage,Upper-middle-income countries,2020,88,75.71457021,100.2854298,53
DTP3 Coverage,High-income countries,2021,95,90.81333896,99.18666104,63
DTP3 Coverage,Low-income countries,2021,73,56.20419081,89.79580919,25
DTP3 Coverage,Lower-middle-income countries,2021,85,68.99594119,101.0040588,49
DTP3 Coverage,Upper-middle-income countries,2021,88,77.39800312,98.60199688,53
DTP3 Coverage,High-income countries,2022,96,91.74374322,100.2562568,63
DTP3 Coverage,Low-income countries,2022,77,60.78903505,93.21096495,25
DTP3 Coverage,Lower-middle-income countries,2022,87,72.14846086,101.8515391,49
DTP3 Coverage,Upper-middle-income countries,2022,88,77.20406328,98.79593672,53
DTP3 Coverage,High-income countries,2023,95.5,90.30003254,100.6999675,63
DTP3 Coverage,Low-income countries,2023,74.5,58.44868805,90.55131195,25
DTP3 Coverage,Lower-middle-income countries,2023,85.5,71.6294027,99.3705973,49
DTP3 Coverage,Upper-middle-income countries,2023,90,78.43178244,101.5682176,53
DTP3 Coverage,High-income countries,2024,96,90.83820407,101.1617959,63
DTP3 Coverage,Low-income countries,2024,80,62.43583193,97.56416807,25
DTP3 Coverage,Lower-middle-income countries,2024,85,71.25295332,98.74704668,49
DTP3 Coverage,Upper-middle-income countries,2024,91,80.28966968,101.7103303,53
ANC4 Coverage,High-income countries,2000,95.7,90.60883118,100.7911688,39
ANC4 Coverage,Low-income countries,2000,50.1,21.63562851,78.56437149,25
ANC4 Coverage,Lower-middle-income countries,2000,69.05,51.9269996,86.1730004,49
ANC4 Coverage,Upper-middle-income countries,2000,82.5,70.84828462,94.15171538,51
ANC4 Coverage,High-income countries,2001,98.8,95.05967916,102.5403208,39
ANC4 Coverage,Low-income countries,2001,34.35,13.26477347,55.43522653,25
ANC4 Coverage,Lower-middle-income countries,2001,42.1,37.1,47.1,49
ANC4 Coverage,Upper-middle-income countries,2001,89.6,70.00368626,109.1963137,51
ANC4 Coverage,High-income countries,2002,96.6,81.81521052,111.3847895,39
ANC4 Coverage,Low-income countries,2002,51.1,31.92408194,70.27591806,25
ANC4 Coverage,Lower-middle-income countries,2002,86.68875568,51.11289136,122.26462,49
ANC4 Coverage,Upper-middle-income countries,2002,94,88.18421688,99.81578312,51
ANC4 Coverage,High-income countries,2003,97.9,85.69431826,110.1056817,39
ANC4 Coverage,Low-income countries,2003,49.85,30.28282632,69.41717368,25
ANC4 Coverage,Lower-middle-income countries,2003,60.6,49.02118158,72.17881842,49
ANC4 Coverage,Upper-middle-income countries,2003,95.5,89.84933632,101.1506637,51
ANC4 Coverage,High-income countries,2004,96.9,88.41902128,105.3809787,39
ANC4 Coverage,Low-income countries,2004,57,31.64588572,82.35411428,25
ANC4 Coverage,Lower-middle-income countries,2004,76,55.06808497,96.93191503,49
ANC4 Coverage,Upper-middle-income countries,2004,96,91.32845493,100.6715451,51
ANC4 Coverage,High-income countries,2005,97.75,85.98132689,109.5186731,39
ANC4 Coverage,Low-income countries,2005,39.8,21.38732321,58.21267679,25
ANC4 Coverage,Lower-middle-income countries,2005,74.85,63.75296437,85.94703563,49
ANC4 Coverage,Upper-middle-income countries,2005,92.75,88.46747738,97.03252262,51
ANC4 Coverage,High-income countries,2006,96.8,91.58197568,102.0180243,39
ANC4 Coverage,Low-income countries,2006,42.1,21.69045703,62.50954297,25
ANC4 Coverage,Lower-middle-income countries,2006,68,51.84103964,84.15896036,49
